index,tsne1,tsne2,tsne_clusters,filename
0,-8.138756,-0.516849,7,split_100_19700101_122640_short.WAV
1,-8.320867,-0.3189031,7,split_101_19700101_122640_short.WAV
2,-8.278735,-0.29285255,7,split_102_19700101_122640_short.WAV
3,-8.006264,-0.47731292,7,split_103_19700101_122640_short.WAV
4,-10.195748,1.5599363,7,split_104_19700101_122640_short.WAV
5,-11.57101,2.8845634,7,split_105_19700101_122640_short.WAV
6,-7.6495175,-0.61160123,7,split_106_19700101_122640_short.WAV
7,-11.606289,2.9437273,7,split_107_19700101_122640_short.WAV
8,-6.669889,-1.2365252,1,split_108_19700101_122640_short.WAV
9,-8.787785,-3.4206738,3,split_109_19700101_122640_short.WAV
10,-11.991208,-5.194844,3,split_10_19700101_122640_short.WAV
11,-6.998744,-1.392955,1,split_110_19700101_122640_short.WAV
12,-11.436919,2.8309324,7,split_111_19700101_122640_short.WAV
13,-10.308121,2.2726467,7,split_112_19700101_122640_short.WAV
14,1.3205801,5.770301,9,split_113_19700101_122640_short.WAV
15,-6.8771253,-1.8797921,1,split_114_19700101_122640_short.WAV
16,-6.915715,-2.1029952,1,split_115_19700101_122640_short.WAV
17,-6.494824,-1.2454795,1,split_116_19700101_122640_short.WAV
18,-6.673649,-1.2727461,1,split_117_19700101_122640_short.WAV
19,-6.495822,-1.3069029,1,split_118_19700101_122640_short.WAV
20,-6.5776653,-1.3159156,1,split_119_19700101_122640_short.WAV
21,-11.48494,-6.0410953,3,split_11_19700101_122640_short.WAV
22,-10.968607,2.604357,7,split_120_19700101_122640_short.WAV
23,-11.069804,2.65559,7,split_121_19700101_122640_short.WAV
24,-6.4663277,-1.3936915,1,split_122_19700101_122640_short.WAV
25,-6.593455,-1.3918464,1,split_123_19700101_122640_short.WAV
26,-6.1913586,-1.2111582,1,split_124_19700101_122640_short.WAV
27,-6.2510934,-1.2656913,1,split_125_19700101_122640_short.WAV
28,-6.2576356,-1.3159715,1,split_126_19700101_122640_short.WAV
29,-6.5507383,-1.3534732,1,split_127_19700101_122640_short.WAV
30,-6.180072,-1.2782118,1,split_128_19700101_122640_short.WAV
